city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus
Albuquerque,New Mexico,West,556495,35.0853336,-106.6055534,yes,2533,80,34.308078832395,0.254545454545455,Ulmus pumila,Ulmus
Anaheim,California,West,345012,33.8352932,-117.9145036,yes,79651,291,52.4115988006994,0.0287601788280377,Magnolia grandiflora,Magnolia
Arlington,Texas,South,379577,32.735687,-97.1080656,yes,14827,104,31.4298792645103,0.77599824484423,Ulmus crassifolia,Quercus
Atlanta,Georgia,South,447841,33.7489954,-84.3879824,yes,41307,284,57.0908907510678,0.742588575560376,Cercis canadensis,Quercus
Aurora (CO),Colorado,West,345803,39.7294319,-104.8319195,yes,57658,119,21.5352824061358,0.0857376527784088,Gleditsia triacanthos,Gleditsia
Austin,Texas,South,885400,30.267153,-97.7430608,yes,7295,103,17.557009618414,0.806474190726159,Carya illinoinensis,Quercus
Baltimore,Maryland,South,622104,39.2903848,-76.6121893,yes,121296,305,51.1167494915638,0.563011667633598,Acer rubrum,Acer
Boston,Massachusetts,Northeast,645966,42.3600825,-71.0588801,yes,1333,70,22.7681554706679,0.85456039441249,Pinus strobus,Pinus
Buffalo,New York,Northeast,258959,42.8864468,-78.8783689,yes,132995,192,33.9302813480909,0.30357841985749,Acer platanoides,Acer
Cape Coral,Florida,South,165831,26.5628537,-81.9495331,yes,34287,106,19.5494912033472,0.803425058548009,Sabal palmetto,Quercus
Colorado Springs,Colorado,West,439886,38.8338816,-104.8213634,yes,25478,113,23.9301158249053,0.303177510551883,Pinus ponderosa,Pinus
Columbus,Ohio,Midwest,822553,39.9611755,-82.9987942,yes,151937,227,46.8835676734967,0.609895072723129,Fraxinus pennsylvanica,Acer
Dallas,Texas,South,1257676,32.7766642,-96.7969879,yes,6218,48,14.2988529511914,0.73944236099788,Quercus virginiana,Quercus
Denver,Colorado,West,649495,39.7392358,-104.990251,yes,284739,290,49.2544606009499,0.134989640161956,Fraxinus pennsylvanica,Acer
Des Moines,Iowa,Midwest,207510,41.6005448,-93.6091064,yes,16875,70,27.5486925431994,0.811281966943508,Fraxinus pennsylvanica,Acer
