city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus,elevation_m,area_km2,pct_water,pct_parkland,pct_impervious_proxy,population_density_per_km2,trees_per_km2,trees_per_1000_pop
Albuquerque,New Mexico,West,556495,35.0853336,-106.6055534,yes,2533,80,34.308078832395,0.254545454545455,Ulmus pumila,Ulmus,1587.0,518.4121438492256,0.008643709500413054,0.10128303800451535,0.42805454330925563,1073.4605788128497,4.886073812222838,4.551703070108447
Anaheim,California,West,345012,33.8352932,-117.9145036,yes,79651,291,52.4115988006994,0.0287601788280377,Magnolia grandiflora,Magnolia,61.0,131.68108585397002,0.028259292283496433,0.04861823529770841,0.4330792246956561,2620.057373939086,604.878061898201,230.86443370085678
Arlington,Texas,South,379577,32.735687,-97.1080656,yes,14827,104,31.4298792645103,0.77599824484423,Ulmus crassifolia,Quercus,190.0,258.2537217016141,0.044520777002990466,0.03591406591993509,0.537761295925728,1469.783271656246,57.412531762586134,39.06190311847135
Atlanta,Georgia,South,447841,33.7489954,-84.3879824,yes,41307,284,57.0908907510678,0.742588575560376,Cercis canadensis,Quercus,336.0,352.2565169533925,0.00792372346634463,0.03776574982970691,0.6940559318953573,1271.3490835408857,117.26397671008988,92.23586049513108
Aurora (CO),Colorado,West,345803,39.7294319,-104.8319195,yes,57658,119,21.5352824061358,0.0857376527784088,Gleditsia triacanthos,Gleditsia,1652.0,417.15217463428013,0.013025984970184971,0.03636221432667131,0.30358619309344476,828.9612784667073,138.21814557373247,166.73655231446807
Austin,Texas,South,885400,30.267153,-97.7430608,yes,7295,103,17.557009618414,0.806474190726159,Carya illinoinensis,Quercus,161.0,724.8445642604296,,,,1221.5032624317016,10.064226676574728,8.239213914614863
Baltimore,Maryland,South,622104,39.2903848,-76.6121893,yes,121296,305,51.1167494915638,0.563011667633598,Acer rubrum,Acer,28.0,238.1056368783358,0.12244895725583418,0.08771234522542236,0.4647515086869842,2612.722689626516,509.4209510965013,194.97704563867134
Boston,Massachusetts,Northeast,645966,42.3600825,-71.0588801,yes,1333,70,22.7681554706679,0.85456039441249,Pinus strobus,Pinus,27.0,246.06115984029793,0.020479493976899122,0.07915961983889469,0.13725258955820357,2625.2253725019173,5.417352339821377,2.0635761015285636
Buffalo,New York,Northeast,258959,42.8864468,-78.8783689,yes,132995,192,33.9302813480909,0.30357841985749,Acer platanoides,Acer,188.0,121.29263145529029,0.14014079765605683,0.06670561363572773,0.15333557193285416,2134.993666910879,1096.4804572569878,513.5755080920146
Cape Coral,Florida,South,165831,26.5628537,-81.9495331,yes,34287,106,19.5494912033472,0.803425058548009,Sabal palmetto,Quercus,4.0,306.5711018851701,0.08421028652668096,0.017421267308095758,0.5827654863597576,540.9218252479452,111.84028693233653,206.7586880619426
